State-County FIPS,Total Active Borrowers,Very Low Income,Low Income,Married,American Indian/Alaskan Native,Asian,Black/African American,Hawaiin Pacific Islander,White,Hispanic,Average Number of Children,Average Household Size
48403,2,1,1,0,0,0,1,0,1,0,0.5,1.5
48405,3,0,3,1,0,0,2,0,1,0,0,0
48407,11,6,5,6,0,0,1,0,10,0,0.7,2
48409,160,51,108,65,4,0,6,0,148,91,1.6,3
48411,9,3,6,5,1,0,0,0,8,3,1.8,2.8
48413,2,1,1,1,0,0,0,0,2,1,2,4
48415,1,0,1,0,0,0,0,0,1,0,1,2
48417,1,0,1,0,0,0,0,0,1,0,,
48419,10,6,4,3,0,0,3,0,6,2,1,2
48421,5,0,5,3,0,0,0,0,5,3,2,3.3
48423,144,54,90,39,3,0,71,0,65,7,1.4,2.7
48427,201,72,126,144,2,0,0,0,198,199,1.7,3.6
48429,4,2,2,0,0,0,0,0,4,0,1.3,2.3
48431,2,0,2,0,0,0,0,0,2,1,2,3.5
48433,3,0,3,2,0,0,0,0,3,1,1.5,3
48435,3,0,3,0,0,0,0,0,3,2,1.3,2.3
48437,17,4,13,10,0,0,4,0,13,7,0,1
48439,88,37,51,29,1,1,3,1,79,11,0.8,1.8
48441,20,2,18,8,0,0,1,0,19,2,1.6,3.2
48443,4,0,3,0,0,0,0,0,4,3,2.3,3.3
48445,22,4,18,10,0,1,1,0,20,11,2,3.6
48447,1,1,0,0,0,0,0,0,1,0,0,1
48449,95,34,61,30,1,1,38,0,50,19,1.5,2.9
48451,23,5,18,9,0,0,1,0,22,3,2,3.5
48453,106,53,53,35,2,0,42,1,59,34,1.4,2.6
48455,26,9,15,6,0,0,12,0,11,2,0.8,1.8
48457,18,8,10,4,1,0,7,0,8,1,1.4,2.7
48459,83,27,56,24,1,0,26,0,50,3,1.2,2.5
48461,2,0,1,1,0,0,0,0,2,2,,
48463,137,36,100,70,0,0,0,0,134,121,1.4,2.8
48465,9,4,5,5,0,0,0,0,7,8,3,4.3
48467,117,34,83,36,1,0,22,0,89,4,1.6,3.1
48469,32,11,20,18,1,0,4,0,27,13,2,3.6
48471,46,10,36,16,0,0,22,0,19,3,1.1,2.1
48473,33,15,18,12,0,0,23,0,10,5,0.8,2
48475,3,3,0,0,0,0,0,0,3,1,2,3.5
48477,91,31,60,18,0,0,68,0,19,5,1.3,2.4
48479,26,6,20,19,0,1,0,0,25,25,1,2
48481,61,25,36,19,0,0,23,0,37,21,1.7,2.9
48483,18,6,12,7,1,0,3,0,14,1,1.7,3.3
48485,86,35,51,26,2,0,1,0,83,2,1.2,2.3
48487,17,4,13,9,0,0,4,0,13,2,1.2,2.6
48489,103,31,72,70,0,6,2,0,90,89,1.5,2.7
48491,246,94,152,82,2,10,37,0,189,55,1.2,2.3
48493,86,18,68,41,1,1,4,0,80,60,1,2.5
48495,1,0,1,1,0,0,0,0,1,0,0,0
48497,93,29,63,38,4,0,1,0,91,19,1.4,2.9
48499,47,12,34,21,1,0,10,0,35,1,2,3.6
48501,8,2,6,3,0,0,0,0,8,4,2,3.5
48503,40,13,25,11,0,0,0,0,39,6,0.7,1.5
48505,75,31,44,45,1,1,0,0,73,73,2,4
48507,42,25,17,22,0,0,0,0,40,40,1,2
49001,41,14,27,16,3,0,0,0,38,3,1.2,2.3
49003,79,43,36,52,0,2,0,0,77,11,1.8,3.5
49005,229,64,164,170,1,0,2,0,226,26,1.7,3.4
49007,41,17,24,21,1,1,0,0,39,4,1.7,3.2
49009,4,0,3,1,0,0,0,0,4,0,0.5,2
49011,14,3,11,9,0,0,0,0,13,0,3,5
49013,102,52,47,39,11,1,0,0,91,12,1.2,2.5
49015,22,13,9,13,0,0,0,0,20,1,1.3,3.1
49017,20,10,10,12,0,0,1,0,19,2,1.6,3.6
49019,186,42,142,54,8,2,1,0,173,15,1.1,2.4
49021,284,124,160,155,4,4,2,1,274,16,1.6,3.2
49023,25,9,16,13,0,0,0,0,25,3,2,3.6
49025,24,7,17,17,0,0,0,0,23,2,2,3.8
49027,30,12,18,22,1,0,0,0,29,0,2,3.7
49029,3,0,3,2,0,0,0,0,3,0,2.5,4
49031,7,4,3,5,0,0,0,0,7,0,1.3,2.7
49033,2,0,2,2,0,0,0,0,2,0,0.5,2.5
49035,20,4,16,7,1,1,0,0,18,3,1.8,2.6
49037,122,52,70,61,22,0,1,2,94,17,2.1,3.7
49039,137,57,80,84,0,0,0,2,135,7,2,3.7
49041,211,86,125,116,2,1,0,0,205,5,1.4,2.9
49043,108,55,53,46,2,2,6,0,99,11,1,2.6
49045,66,30,36,35,0,0,0,0,66,4,2,3.5
49047,170,56,110,68,12,1,1,3,152,16,1.3,2.6
49049,334,116,219,276,3,4,1,9,319,45,2,3.8
49051,53,11,42,34,0,1,0,1,50,3,1.8,3.4
49053,150,45,104,93,5,0,2,2,143,14,1.8,3.4
